"Latest: Time (s)","Latest: Temperature (°C)"
57,24.2360972215
57.5,24.3318427705
58,24.434827841
58.5,24.513145462
59,24.5929058822
59.5,24.6523589883
60,24.7161581402
60.5,24.761105071
61,24.8031504355
61.5,24.8321462821
62,24.8524429242
62.5,24.8828872109
63,24.8959345195
63.5,24.9292769977
64,24.9829130279
64.5,25.0524916771
65,25.132213104
65.5,25.2061330798
66,25.3061377343
66.5,25.3945437948
67,25.4930913667
67.5,25.5814919439
68,25.6510518966
68.5,25.724958607
69,25.7887209259
69.5,25.8539323307
70,25.9829068151
70.5,26.0742048946
71,26.1626065838
71.5,26.2655036323
72,26.3713038679
72.5,26.4640649872
73,26.5394371917
73.5,26.6032166432
74,26.6481539378
74.5,26.6916431257
75,26.7409327318
75.5,26.8279195334
76,26.9236132147
76.5,27.0149659065
77,27.1034272957
77.5,27.1788443052
78,27.2455652838
78.5,27.3166440717
79,27.3645173637
79.5,27.4080413627
80,27.4762345534
80.5,27.5023529537
81,27.5386302624
81.5,27.5705560112
82,27.6329610956
82.5,27.7040817761
83,27.7882767574
83.5,27.8507053959
84,27.9174975484
84.5,27.9625144638
85,28.0220590771
85.5,28.0670853416
86,28.1368116704
86.5,28.1920189599
87,28.2457797647
87.5,28.3111731602
88,28.3780297831
88.5,28.4245448668
89,28.4768804758
89.5,28.5074126324
90,28.5204985389
90.5,28.5379470692
91,28.5553963523
91.5,28.5801174683
92,28.6106574373
92.5,28.655744582
93,28.7022916484
93.5,28.7677580827
94,28.81577408
94.5,28.9074584811
95,28.977329032
95.5,29.0457574879
96,29.0879861121
96.5,29.141871686
97,29.1811990962
97.5,29.2336429735
98,29.2919239189
98.5,29.3429284909
99,29.396856623
99.5,29.4332998641
100,29.4682894542
100.5,29.5120321201
101,29.549947588
101.5,29.6053712237
102,29.6403810219
102.5,29.6870673308
103,29.7220870458
103.5,29.7760842396
104,29.8067359111
104.5,29.8417705267
105,29.8943307995
105.5,29.9352180121
106,29.9761114176
106.5,30.0082463349
107,30.0535339659
107.5,30.0842171154
108,30.1178266122
108.5,30.1426712171
109,30.1704415551
109.5,30.1865204958
110,30.2069860694
110.5,30.2362254683
111,30.2566950637
111.5,30.2786286257
112,30.2947144612
112.5,30.3254266728
113,30.3459035979
113.5,30.3678450504
114,30.3956403782
114.5,30.4409974662
115,30.4775819692
115.5,30.5346649699
116,30.5815125796
116.5,30.6312984249
117,30.679630193
117.5,30.7206469315
118,30.7704628966
118.5,30.8261525751
119,30.8847882922
119.5,30.9287752854
120,30.9771711827
120.5,31.0241108409
121,31.0813324021
121.5,31.119488642
122,31.1840764502
122.5,31.2134411284
123,31.266308014
123.5,31.2839333178
124,31.3280032056
124.5,31.3706131557
125,31.398534882
125.5,31.4396897531
126,31.4632106224
126.5,31.4911452644
127,31.5087902237
127.5,31.5264367588
128,31.5617345756
128.5,31.5852699857
129,31.6279351617
129.5,31.6750248862
130,31.710349746
130.5,31.7824916523
131,31.8679197548
131.5,31.9371746841
132,32.0035069782
132.5,32.0462672212
133,32.0978878527
133.5,32.1465723049
134,32.2144576591
134.5,32.2749861475
135,32.3473525351
135.5,32.4330498022
136,32.5010470932
136.5,32.5557603524
137,32.5942181482
137.5,32.6371238153
138,32.6637604831
138.5,32.6874411159
139,32.70372352
139.5,32.7229684359
140,32.7496189647
140.5,32.7659075333
141,32.7821977259
141.5,32.7836787331
142,32.8058954585
142.5,32.8177456202
143,32.8340410062
143.5,32.8458932261
144,32.8725639011
144.5,32.8933108126
145,32.9051673935
145.5,32.9392599527
146,32.961498152
146.5,32.9792909484
147,32.9985687283
147.5,33.0267481683
148,33.0653176677
148.5,33.0816383829
149,33.1350635422
149.5,33.1825679745
150,33.2300870043
150.5,33.2791063963
151,33.3474627367
151.5,33.3965199788
152,33.4560047552
152.5,33.5110492614
153,33.5393232859
153.5,33.5720683855
154,33.5973764016
154.5,33.6331127948
155,33.6554524738
155.5,33.674816297
156,33.7046118292
156.5,33.7269624961
157,33.7388842639
157.5,33.7552783022
158,33.7806182132
158.5,33.8044716239
159,33.8223642876
159.5,33.8477160623
160,33.8909736222
160.5,33.9178297745
161,33.9431986024
161.5,33.9730501284
162,34.0118665991
162.5,34.0357590097
163,34.0760867394
163.5,34.1059666811
164,34.1313697037
164.5,34.1582721196
165,34.2016259748
165.5,34.2225603321
166,34.2674304843
166.5,34.2973521453
167,34.3302736077
167.5,34.3931460002
168,34.4275886051
168.5,34.4830149305
169,34.5129847341
169.5,34.5594513537
170,34.5909380538
170.5,34.6419325519
171,34.6779406586
171.5,34.7034524319
172,34.7469841072
172.5,34.7950361003
173,34.8295845693
173.5,34.9047221617
174,34.9633603323
174.5,35.0099895829
175,35.0807185817
175.5,35.1560062335
176,35.2283254503
176.5,35.2871161274
177,35.3474436342
177.5,35.4047825046
178,35.4470495979
178.5,35.4802698652
179,35.5286066807
179.5,35.5648721247
180,35.6117313486
180.5,35.6404606709
181,35.6843241593
181.5,35.7342576726
182,35.7705863164
182.5,35.8175275487
183,35.8493372106
183.5,35.8796402406
184,35.9205619348
184.5,35.9448186844
185,35.9705970902
185.5,35.9994151083
186,36.0206540827
186.5,36.0358271974
187,36.0479671429
187.5,36.067697315
188,36.0813586705
188.5,36.1056495847
189,36.117796994
189.5,36.1238711874
190,36.1420957254
190.5,36.1496901506
191,36.1679188567
191.5,36.1815923213
192,36.1952674471
192.5,36.2119837494
193,36.2195828913
193.5,36.243903607
194,36.2636680795
194.5,36.2895192046
195,36.3138551514
195.5,36.3381964223
196,36.3823285902
196.5,36.4082073564
197,36.4386607361
197.5,36.4767393158
198,36.5072116961
198.5,36.5453141111
199,36.5819049557
199.5,36.6047804855
200,36.6398656689
200.5,36.6719099043
201,36.7039636578
201.5,36.72533813
202,36.7589351833
202.5,36.7894871037
203,36.807822448
203.5,36.8399168866
204,36.8720210072
204.5,36.8934291486
205,36.9209602603
205.5,36.9607400878
206,36.9867580938
206.5,37.0143135897
207,37.034219282
207.5,37.0464708188
208,37.0893625061
208.5,37.1138799604
209,37.146067888
209.5,37.1859334427
210,37.210473724
210.5,37.2365541634
211,37.2825945813
211.5,37.2948755097
212,37.3225129766
212.5,37.3578383808
213,37.3824197838
213.5,37.3916393384
214,37.4223772205
214.5,37.4423618312
215,37.47926685
215.5,37.5500391656
216,37.6501285568
216.5,37.7487762565
217,37.8166535228
217.5,37.8706801858
218,37.8969324309
218.5,37.9108335251
219,37.9324613746
219.5,37.9448222944
220,37.9510033411
220.5,37.9695488306
221,37.9726400885
221.5,38.0375792011
222,38.0685178648
222.5,38.0762540757
223,38.1041095626
223.5,38.1505532549
224,38.1737835081
224.5,38.2202608894
225,38.2667608515
225.5,38.3024261756
226,38.3505179984
226.5,38.3893194969
227,38.4343491934
227.5,38.4654166902
228,38.5073740994
228.5,38.5369109371
229,38.5571257238
229.5,38.5726785352
230,38.5851226502
230.5,38.5866782812
231,38.5913453302
231.5,38.5929010651
232,38.6037919365
232.5,38.6069038479
233,38.6115719099
233.5,38.6162402061
234,38.633359296
234.5,38.6426983101
235,38.659822275
235.5,38.6753922585
236,38.686292803
236.5,38.7127708981
237,38.7423730404
237.5,38.7595154633
238,38.7906916792
238.5,38.8296768203
239,38.8608768662
239.5,38.8858445618
240,38.9342389059
240.5,38.9545409591
241,38.973285339
241.5,39.001409165
242,39.013911443
242.5,39.0201632291
243,39.0123485639
243.5,39.0076600884
244,38.9951586725
244.5,38.9826589794
245,38.973285339
245.5,38.9607886563
246,38.9639126659
246.5,38.9592266917
247,38.9623506476
247.5,38.9592266917
248,38.9764097783
248.5,38.9826589794
249,38.9935961167
249.5,39.0076600884
250,39.0373578672
250.5,39.0592466814
251,39.0827048709
251.5,39.1139919544
252,39.1390294546
252.5,39.168770553
253,39.1906913599
253.5,39.2173167006
254,39.2564860319
254.5,39.2815634361
255,39.3066479083
255.5,39.3348764072
256,39.3521315795
256.5,39.3709592376
257,39.3835132353
257.5,39.4070567879
258,39.4258961515
258.5,39.4557333805
259,39.4761541558
259.5,39.4808673161
260,39.5044369123
260.5,39.5248690187
261,39.5327287898
261.5,39.5374449911
262,39.5515951198
262.5,39.5547399037
263,39.556312338
263.5,39.5578848007
264,39.5641749341
264.5,39.5799022489
265,39.586193968
265.5,39.601925251
266,39.6113653833
266.5,39.6302487173
267,39.6491361494
267.5,39.657007124
268,39.6696021667
268.5,39.6821990371
269,39.7010977738
269.5,39.729453612
270,39.7483626694
270.5,39.7578187503
271,39.7830400322
271.5,39.8066916881
272,39.8350822581
272.5,39.8587482341
273,39.8792640285
273.5,39.8855775688
274,39.9171522566
274.5,39.9376820583
275,39.958216798
275.5,39.9708560191
276,39.9898183677
276.5,40.0072042329
277,40.0245936547
277.5,40.0546383209
278,40.0593831887
278.5,40.0799473544
279,40.0957693439
279.5,40.1131769529
280,40.1337542086
280.5,40.1369203857
281,40.1606705048
281.5,40.1622540841
282,40.1844273235
282.5,40.18601135
283,40.1907636084
283.5,40.2097753299
284,40.2161135268
284.5,40.2192828047
285,40.2319611138
285.5,40.2478116963
286,40.2589088885
286.5,40.2684219384
287,40.2763503063
287.5,40.28586534
288,40.2906232631
288.5,40.3112440617
289,40.3302831681
289.5,40.3540881681
290,40.3651994976
290.5,40.384250945
291,40.3874266108
291.5,40.3858387627
292,40.3874266108
292.5,40.3937783066
293,40.3874266108
293.5,40.3858387627
294,40.3858387627
294.5,40.3874266108
295,40.3874266108
295.5,40.3858387627
296,40.3874266108
296.5,40.3890144892
297,40.3985423973
297.5,40.4096596722
298,40.4112479759
298.5,40.4223669536
299,40.4239555007
299.5,40.4350761829
300,40.4461983582
300.5,40.4541436838
301,40.4620897725
301.5,40.4620897725
302,40.4636790818
302.5,40.4732155792
303,40.485932621
303.5,40.4891121873
304,40.505011856
304.5,40.5209145893
305,40.5384111405
305.5,40.5479562808
306,40.5622760676
306.5,40.5622760676
307,40.5765983486
307.5,40.5877396267
308,40.5972904971
308.5,40.6116188874
309,40.6179878646
309.5,40.6339124736
310,40.6593982926
310.5,40.6657709883
311,40.6832984646
311.5,40.6896730251
312,40.6992357994
312.5,40.7215533012
313,40.7406874552
313.5,40.7518511227
314,40.7662066616
314.5,40.7709924048
315,40.7901381981
315.5,40.7917338847
316,40.8013086636
316.5,40.8156729521
317,40.8332327636
317.5,40.8571841023
318,40.8667666246
318.5,40.8763502837
319,40.8939232803
319.5,40.9130981893
320,40.9306791983
320.5,40.9450665166
321,40.9642536121
321.5,40.9786469409
322,40.9962422926
322.5,41.0170417776
323,41.0266433612
323.5,41.0442492563
324,41.071465993
324.5,41.0746685717
325,41.0874801711
325.5,41.0954884655
326,41.100293828
326.5,41.1083034093
327,41.1259273227
327.5,41.1403497903
328,41.1451578604
328.5,41.1595838155
329,41.1948582939
329.5,41.2125014161
330,41.2253352454
330.5,41.2494042848
331,41.2670595705
331.5,41.2718753332
332,41.2734806526
332.5,41.2734806526
333,41.2734806526
333.5,41.2750860048
334,41.2750860048
334.5,41.2750860048
335,41.2766913895
335.5,41.2815077396
336,41.3007760803
336.5,41.3039879281
337,41.3200491308
337.5,41.3312939214
338,41.3505744439
338.5,41.3505744439
339,41.3618235986
339.5,41.3762891641
340,41.3811116115
340.5,41.4052282944
341,41.4277438936
341.5,41.4470481327
342,41.4631386385
342.5,41.4776229267
343,41.4856709144
343.5,41.5017693799
344,41.5049894718
344.5,41.5049894718
345,41.5049894718
345.5,41.5065995675
346,41.5178711693
346.5,41.5243128166
347,41.5259233117
347.5,41.5227023549
348,41.5227023549
348.5,41.5227023549
349,41.5259233117
349.5,41.5323656251
350,41.5404192665
350.5,41.5484737415
351,41.5565290505
351.5,41.5597514077
352,41.5581402124
352.5,41.5645851941
353,41.5806999872
353.5,41.5823116504
354,41.5839233471
354.5,41.5968181251
355,41.6016542194
355.5,41.6113273126
356,41.6097150466
356.5,41.6145519453
357,41.617776712
357.5,41.6242266481
358,41.6322898235
358.5,41.6339025594
359,41.6419667424
359.5,41.6548711833
360,41.6790728156
360.5,41.6839140518
361,41.6871417112
361.5,41.7065105024
362,41.7097391071
362.5,41.7145822675
363,41.7274988498
363.5,41.7517232808
364,41.7597997857
364.5,41.7614151885
365,41.7646460957
365.5,41.7662616003
366,41.7856503039
366.5,41.7872662501
367,41.7888822303
367.5,41.7969626413
368,41.8001950439
368.5,41.8098930687
369,41.813126016
369.5,41.813126016
370,41.8147425408
370.5,41.8212089808
371,41.8325265634
371.5,41.8406115746
372,41.8406115746
372.5,41.8486974395
373,41.8535493684
373.5,41.8664893496
374,41.8729601612
374.5,41.869724687
375,41.8891395872
375.5,41.8891395872
376,41.8923758835
376.5,41.9020855956
377,41.9134151542
377.5,41.9150337999
378,41.9150337999
378.5,41.9166524799
379,41.9166524799
379.5,41.9279842023
380,41.9393176094
380.5,41.945794599
381,41.9652288741
381.5,41.966848621
382,41.9749478731
382.5,41.9749478731
383,41.9911489661
383.5,41.9927692653
384,41.9927692653
384.5,41.9927692653
385,41.9943895991
385.5,42.0057329038
386,42.0186987561
386.5,42.0186987561
387,42.0316668246
387.5,42.0413943317
388,42.0462585535
388.5,42.0462585535
389,42.0495015415
389.5,42.0495015415
390,42.0689623865
390.5,42.0738283797
391,42.0851835811
391.5,42.0868058919
392,42.0965404881
392.5,42.0949179683
393,42.0965404881
393.5,42.0965404881
394,42.0965404881
394.5,42.0965404881
395,42.1046536096
395.5,42.1078991022
396,42.1143905059
396.5,42.119259425
397,42.1225055455
397.5,42.1273749882
398,42.1338680673
398.5,42.1403617055
399,42.1517269185
399.5,42.1533506602
400,42.154974437
400.5,42.1630938459
401,42.1728382923
401.5,42.1744624893
402,42.1809596281
402.5,42.1858328503
403,42.1988296537
403.5,42.1988296537
404,42.2004544121
404.5,42.2004544121
405,42.2085787311
405.5,42.2232047197
406,42.2232047197
406.5,42.2248300055
407,42.2280806825
407.5,42.2378335584
408,42.2475877025
408.5,42.2475877025
409,42.2508393659
409.5,42.2508393659
410,42.2605952023
410.5,42.2654735968
411,42.2801106872
411.5,42.2817372072
412,42.2898703376
412.5,42.3012582058
413,42.3028851857
413.5,42.3028851857
414,42.3077663378
414.5,42.3093934593
415,42.3175295983
415.5,42.3240391475
416,42.3272941349
416.5,42.3289216818
417,42.3289216818
417.5,42.3289216818
418,42.332176882
418.5,42.3305492641
419,42.3354322241
419.5,42.3419433344
420,42.3517110652
420.5,42.3614800754
421,42.371250366
421.5,42.381021938
422,42.382650658
422.5,42.3875370316
423,42.3989398178
423.5,42.407085735
424,42.4087150255
424.5,42.4087150255
425,42.4233802469
425.5,42.4315288427
426,42.4315288427
426.5,42.4315288427
427,42.4478287168
427.5,42.4576103597
428,42.4576103597
428.5,42.4690239068
429,42.4690239068
429.5,42.4657627141
430,42.4755467225
430.5,42.4837010497
431,42.4820701124
431.5,42.4918562744
432,42.5000123973
432.5,42.5081694189
433,42.5049065024
433.5,42.5098009311
434,42.5098009311
434.5,42.5098009311
435,42.5114324793
435.5,42.5163273399
436,42.5195907602
436.5,42.5310138656
437,42.5342779343
437.5,42.5359100227
438,42.5375421471
438.5,42.5375421471
439,42.5391743076
439.5,42.5457033103
440,42.557130454
440.5,42.557130454
441,42.5652937827
441.5,42.5750909695
442,42.5783569877
442.5,42.5767239605
443,42.5865226661
443.5,42.5865226661
444,42.5881559103
444.5,42.5881559103
445,42.5897891908
445.5,42.5897891908
446,42.5946892493
446.5,42.6061239868
447,42.6028567378
447.5,42.6110251322
448,42.6126589198
448.5,42.6142927437
449,42.6175605003
449.5,42.6142927437
450,42.6224624073
450.5,42.619194433
451,42.6257305268
451.5,42.6322672013
452,42.6404388616
452.5,42.6404388616
453,42.6404388616
453.5,42.6404388616
454,42.6420733027
454.5,42.6420733027
455,42.646976844
455.5,42.6486114305
456,42.6600545544
456.5,42.6600545544
457,42.6665942829
457.5,42.668229306
458,42.668229306
458.5,42.673134594
459,42.673134594
459.5,42.6878524258
460,42.6845815413
460.5,42.6943946325
461,42.7058448994
461.5,42.7009374231
462,42.714024757
462.5,42.7172969559
463,42.7189331102
463.5,42.7336601443
464,42.7385698144
464.5,42.743479814
465,42.743479814
465.5,42.743479814
466,42.7451165537
466.5,42.7467533302
467,42.7663975064
467.5,42.7663975064
468,42.7876846603
468.5,42.7958736806
469,42.7958736806
469.5,42.8089780257
470,42.8171694376
470.5,42.8220847268
471,42.8302776126
471.5,42.8466661502
472,42.8483052069
472.5,42.8499443006
473,42.8499443006
473.5,42.8499443006
474,42.8548618032
474.5,42.8630583798
475,42.8712558806
475.5,42.8728954917
476,42.8745351398
476.5,42.877814547
477,42.877814547
477.5,42.8860137127
478,42.8892936382
478.5,42.8974941002
479,42.8991343038
479.5,42.9007745444
480,42.9056954888
480.5,42.9089763038
481,42.9122572672
481.5,42.9138978046
482,42.9171789906
482.5,42.9237418082
483,42.9188196393
483.5,42.9253826054
484,42.9270234398
484.5,42.9270234398
485,42.9270234398
485.5,42.9270234398
486,42.9270234398
486.5,42.93030522
487,42.9270234398
487.5,42.93030522
488,42.9335871488
488.5,42.9417926213
489,42.9434338273
489.5,42.9516404156
490,42.9532818449
490.5,42.9549233114
491,42.9582063561
491.5,42.9582063561
492,42.9647728924
492.5,42.9713400247
493,42.9779077534
493.5,42.9828339415
494,42.9959720849
494.5,42.999256994
495,43.0058272607
495.5,43.004184638
496,43.0058272607
496.5,43.010755353
497,43.0091126182
497.5,43.018969588
498,43.0123981252
498.5,43.0255416494
499,43.0304710883
499.5,43.0238985779
500,43.0304710883
500.5,43.0288279046
501,43.0304710883
501.5,43.0304710883
502,43.0304710883
502.5,43.0304710883
503,43.0304710883
503.5,43.0304710883
504,43.0321143095
504.5,43.0337575682
505,43.0354008643
505.5,43.0354008643
506,43.0452614276
506.5,43.0436179067
507,43.0419744233
507.5,43.0501922152
508,43.0551233403
508.5,43.0567671237
509,43.0584109445
509.5,43.060054803
510,43.0584109445
510.5,43.0633426324
511,43.068274658
511.5,43.0732070216
512,43.0781397233
512.5,43.0715628629
513,43.0748512179
513.5,43.0830727631
514,43.0814283789
514.5,43.0847171849
515,43.0847171849
515.5,43.0863616443
516,43.0962291904
516.5,43.0995186734
517,43.1093880259
517.5,43.1324217902
518,43.1357129314
518.5,43.1406499262
519,43.148879006
519.5,43.1620474986
520,43.1620474986
520.5,43.1653399998
521,43.1785115181
521.5,43.1818047763
522,43.188391747
522.5,43.2032146484
523,43.2032146484
523.5,43.2130982896
524,43.2147456959
524.5,43.2147456959
525,43.2196881429
525.5,43.2229832974
526,43.2279263141
526.5,43.2378133739
527,43.2378133739
527.5,43.2378133739
528,43.2361654355
528.5,43.2411093647
529,43.2411093647
529.5,43.2411093647
530,43.2411093647
530.5,43.2411093647
531,43.2411093647
531.5,43.2411093647
532,43.2460536362
532.5,43.2477018028
533,43.2477018028
533.5,43.2592400353
534,43.2608885065
534.5,43.2658341489
535,43.2608885065
535.5,43.2641855634
536,43.2658341489
536.5,43.2674827726
537,43.2674827726
537.5,43.2658341489
538,43.2658341489
538.5,43.2691314345
539,43.2740776487
539.5,43.2790242061
540,43.2724288725
540.5,43.2790242061
541,43.2889183513
541.5,43.2922167051
542,43.3021126832
542.5,43.3318088771
543,43.3400600212
543.5,43.3450111675
544,43.3450111675
544.5,43.3466616263
545,43.358215912
545.5,43.3697720783
546,43.3714231128
546.5,43.3730741858
547,43.3796788618
547.5,43.3829814305
548,43.3961932437
548.5,43.3912385252
549,43.3961932437
549.5,43.4011483087
550,43.4110594783
550.5,43.4209720352
551,43.4160155833
551.5,43.4160155833
552,43.4242765293
552.5,43.4259288342
553,43.4325384396
553.5,43.4374960489
554,43.4474123102
554.5,43.4507180397
555,43.4523709624
555.5,43.4523709624
556,43.4540239237
556.5,43.4606361559
557,43.463942504
557.5,43.4771694443
558,43.4771694443
558.5,43.4771694443
559,43.4771694443
559.5,43.478822986
560,43.478822986
560.5,43.4771694443
561,43.4804765665
561.5,43.4804765665
562,43.4771694443
562.5,43.478822986
563,43.478822986
563.5,43.478822986
564,43.4771694443
564.5,43.4755159413
565,43.4722090513
565.5,43.4689023163
566,43.4672490068
566.5,43.4573299625
567,43.4589830398
567.5,43.4606361559
568,43.4523709624
568.5,43.4507180397
569,43.4507180397
569.5,43.4507180397
570,43.4507180397
570.5,43.4507180397
571,43.4507180397
571.5,43.4523709624
572,43.4523709624
572.5,43.4523709624
573,43.4523709624
573.5,43.4523709624
574,43.4523709624
574.5,43.4540239237
575,43.4540239237
575.5,43.4540239237
576,43.4523709624
576.5,43.4540239237
577,43.4556769238
577.5,43.4523709624
578,43.4589830398
578.5,43.4606361559
579,43.465595736
579.5,43.465595736
580,43.4540239237
580.5,43.4606361559
581,43.4573299625
581.5,43.463942504
582,43.463942504
582.5,43.4689023163
583,43.4705556645
583.5,43.4722090513
584,43.4755159413
584.5,43.4755159413
585,43.4771694443
585.5,43.4771694443
586,43.4771694443
586.5,43.4771694443
587,43.4771694443
587.5,43.478822986
588,43.478822986
588.5,43.478822986
589,43.478822986
589.5,43.478822986
590,43.478822986
590.5,43.478822986
591,43.478822986
591.5,43.4837838437
592,43.4854375404
592.5,43.4821301858
593,43.4903988631
593.5,43.4903988631
594,43.5003225552
594.5,43.5019766396
595,43.5003225552
595.5,43.5036307629
596,43.5036307629
596.5,43.5036307629
597,43.5036307629
597.5,43.5036307629
598,43.5085933654
598.5,43.5152107122
599,43.5119019612
599.5,43.5135563173
600,43.516865146
600.5,43.5251378977
601,43.533411621
601.5,43.5367213826
602,43.5350664823
602.5,43.5549278533
603,43.5516172355
603.5,43.5516172355
604,43.5549278533
604.5,43.5549278533
605,43.5632050796
605.5,43.5731390374
606,43.5764506686
606.5,43.5830743994
607,43.5830743994
607.5,43.5896987547
608,43.6012928803
