"Latest: Time (s)","Latest: Temperature (°C)"
100.5,19.6119903642
101,19.6193672515
101.5,19.6252685323
102,19.6267438208
102.5,19.6282190965
103,19.6311696099
103.5,19.6341200725
104,19.6414960071
104.5,19.648871625
105,19.648871625
105.5,19.6532968439
106,19.657721949
106.5,19.6665718182
107,19.6680467523
107.5,19.6724714787
108,19.6798457709
108.5,19.6798457709
109,19.6872197485
109.5,19.6931187044
110,19.6931187044
110.5,19.696068107
111,19.696068107
111.5,19.6975427895
112,19.6975427895
112.5,19.7004921168
113,19.703441394
113.5,19.7093397981
114,19.7137634697
114.5,19.7181870287
115,19.7167125215
115.5,19.7211360056
116,19.7255593772
116.5,19.7255593772
117,19.7270338095
117.5,19.7344057836
118,19.7373544861
118.5,19.7388288186
119,19.7476745524
119.5,19.7432517415
120,19.7491487978
120.5,19.7535714596
121,19.7506230309
121.5,19.7579940096
122,19.7594681681
122.5,19.762416448
123,19.762416448
123.5,19.7638905693
124,19.7653646782
124.5,19.7683128589
125,19.7697869307
125.5,19.77126099
126,19.77126099
126.5,19.772735037
127,19.7771571038
127.5,19.7756830939
128,19.7771571038
128.5,19.7786311013
129,19.7845269678
129.5,19.7860009036
130,19.788948738
130.5,19.7904226367
131,19.7918965231
131.5,19.7918965231
132,19.7918965231
132.5,19.7933703972
133,19.7963181083
133.5,19.8022133827
134,19.8051609461
134.5,19.8081084602
135,19.8095821988
135.5,19.814003341
136,19.814003341
136.5,19.8154770305
137,19.8154770305
137.5,19.8169507076
138,19.8213716656
138.5,19.8243189096
139,19.8272661045
139.5,19.8346338774
140,19.8331603473
140.5,19.8375809009
141,19.8405278755
141.5,19.8420013445
142,19.8523152852
142.5,19.8523152852
143,19.8537886565
143.5,19.8596820197
144,19.8626286282
144.5,19.8626286282
145,19.8699949366
145.5,19.877360941
146,19.8803072577
146.5,19.883253526
147,19.8847266419
147.5,19.8847266419
148,19.8876728373
148.5,19.895038114
149,19.895038114
149.5,19.8979841399
150,19.9024030881
150.5,19.9038760466
151,19.9053489931
151.5,19.9068219275
152,19.9082948498
152.5,19.9082948498
153,19.9112406582
153.5,19.9127135443
154,19.9156592804
154.5,19.920077794
155,19.9230234095
155.5,19.9244961992
156,19.9303872377
156.5,19.9348053903
157,19.9377507653
157.5,19.9451139928
158,19.9495317853
158.5,19.9495317853
159,19.9554220077
159.5,19.9598395488
160,19.9613120386
160.5,19.9657294362
161,19.9760362795
161.5,19.9760362795
162,19.9789809845
162.5,19.9819256419
163,19.9951760109
163.5,20.0084254177
164,20.0084254177
164.5,20.0231458553
165,20.0363932386
165.5,20.0452242969
166,20.0525831885
166.5,20.0614134707
167,20.0599417863
167.5,20.0643568041
168,20.0702433304
168.5,20.0687717165
169,20.0717149327
169.5,20.0731865233
170,20.0731865233
170.5,20.0790727686
171,20.0849588268
171.5,20.0908446981
172,20.0937875637
172.5,20.0996731551
173,20.1011445238
173.5,20.1040872263
174,20.1129150546
174.5,20.1202712586
175,20.126156013
175.5,20.1335116953
176,20.1379249657
176.5,20.1408670882
177,20.1452801853
177.5,20.1482221922
178,20.1570479362
178.5,20.1614606527
179,20.1644024061
179.5,20.1644024061
180,20.1658732655
